Worker_Code,Zone_Code,Assignment_Date
W11291,Z157,2027-05-26
W13851,Z275,2027-03-24
W21349,Z259,2027-01-19
W35862,Z339,2027-04-5
W32668,Z642,2027-08-28
W4999,Z750,2027-02-11
W12976,Z549,2027-05-13
W20933,Z304,2027-02-16
W39320,Z189,2027-09-9
W11630,Z618,2027-02-26
W12626,Z62,2027-02-28
W8358,Z105,2027-04-29
W19540,Z794,2027-07-27
W23940,Z439,2027-08-4
W3499,Z45,2027-04-28
W17865,Z326,2027-06-24
W7877,Z881,2027-04-15
W2141,Z130,2027-01-26
W39208,Z945,2027-02-10
W16613,Z157,2027-06-15
W4021,Z505,2027-09-12
W22368,Z615,2027-04-16
W14666,Z553,2027-04-3
W6949,Z6,2027-05-6
W14797,Z837,2027-04-6
W2654,Z891,2027-02-8
W46479,Z618,2027-01-18
W30924,Z785,2027-04-24
W13347,Z86,2027-09-5
W27968,Z302,2027-03-26
W29856,Z449,2027-08-26
W16196,Z617,2027-02-3
W33065,Z523,2027-05-9
W43604,Z250,2027-06-2
W36173,Z928,2027-02-5
W34223,Z726,2027-03-29
W32212,Z490,2027-05-29
W38351,Z884,2027-02-2
W14070,Z148,2027-01-14
W31790,Z712,2027-06-18
W38410,Z652,2027-05-13
W11631,Z929,2027-07-7
W8421,Z290,2027-09-28
W43466,Z704,2027-08-24
W36837,Z828,2027-06-28
W27698,Z823,2027-05-12
W2296,Z150,2027-08-14
W43598,Z781,2027-05-20
W3752,Z746,2027-04-23
W12349,Z24,2027-07-26
W14473,Z258,2027-02-29
W46285,Z739,2027-05-7
W6213,Z358,2027-01-30
W27921,Z984,2027-03-21
W40625,Z989,2027-09-16
W39950,Z481,2027-06-25
W40433,Z95,2027-06-5
W32261,Z680,2027-04-23
W38984,Z534,2027-06-30
W18393,Z516,2027-08-27
W32844,Z866,2027-05-20
W6660,Z815,2027-09-30
W888,Z887,2027-06-10
W10211,Z508,2027-06-5
W39765,Z48,2027-04-28
W41914,Z651,2027-06-23
W18889,Z839,2027-03-5
W49024,Z622,2027-05-11
W26419,Z25,2027-05-4
W17386,Z832,2027-08-23
W20134,Z897,2027-06-14
W34610,Z42,2027-06-24
W16655,Z570,2027-06-20
W26190,Z673,2027-01-12
W3144,Z711,2027-04-12
W3419,Z145,2027-04-16
W17044,Z423,2027-02-11
W39254,Z192,2027-01-18
W41515,Z877,2027-09-21
