Worker_Code,Zone_Code,Assignment_Date
W878,Z842,2027-02-22
W1350,Z1043,2027-04-11
W1214,Z654,2027-05-16
W1401,Z796,2027-02-2
W410,Z49,2027-07-3
W772,Z115,2027-01-3
W606,Z1241,2027-04-27
W254,Z762,2027-02-24
W1032,Z351,2027-01-28
W37,Z320,2027-05-25
W213,Z1454,2027-08-9
W1190,Z859,2027-09-27
W1161,Z1231,2027-07-14
W396,Z76,2027-05-7
W1152,Z698,2027-06-12
W1217,Z1153,2027-04-18
W550,Z336,2027-03-20
W1063,Z1307,2027-04-12
W1148,Z866,2027-01-2
W847,Z726,2027-09-13
W595,Z800,2027-09-21
W1007,Z1106,2027-09-8
W1326,Z896,2027-05-1
W1377,Z1017,2027-09-30
W788,Z1404,2027-05-24
W1398,Z928,2027-09-30
W969,Z195,2027-03-6
W1295,Z392,2027-04-2
W953,Z930,2027-03-16
W1229,Z784,2027-02-2
W490,Z1189,2027-03-6
W1274,Z99,2027-07-15
W445,Z1402,2027-08-29
W924,Z931,2027-06-26
W861,Z522,2027-09-19
W463,Z1304,2027-02-17
W682,Z225,2027-06-25
W283,Z304,2027-06-21
W388,Z845,2027-02-16
W1480,Z420,2027-06-1
W723,Z1187,2027-07-29
W1481,Z489,2027-09-13
W578,Z302,2027-01-14
W325,Z1059,2027-03-26
W1387,Z1301,2027-06-23
W1283,Z735,2027-06-21
W599,Z1179,2027-05-2
W397,Z609,2027-05-6
W1257,Z595,2027-04-17
W338,Z981,2027-08-15
W398,Z161,2027-05-7
W1144,Z821,2027-06-5
W1414,Z181,2027-07-18
W999,Z272,2027-02-13
W1192,Z295,2027-02-13
W129,Z1326,2027-03-12
W1307,Z98,2027-08-25
W1059,Z1273,2027-03-24
W309,Z1087,2027-08-28
W878,Z1046,2027-04-23
W1300,Z951,2027-07-3
W1373,Z1297,2027-02-20
W460,Z412,2027-01-26
W228,Z1318,2027-05-5
W950,Z442,2027-06-7
W267,Z982,2027-06-27
W788,Z870,2027-08-17
W853,Z368,2027-09-1
W1366,Z216,2027-05-1
W1331,Z1003,2027-08-15
W534,Z1332,2027-04-10
W782,Z594,2027-06-27
W945,Z1391,2027-07-22
W1125,Z1499,2027-05-14
W875,Z764,2027-05-14
W1144,Z958,2027-07-9
W1057,Z784,2027-03-16
W1154,Z1453,2027-02-29
W1159,Z339,2027-02-18
W146,Z1421,2027-07-18
W519,Z1120,2027-03-24
W545,Z620,2027-03-30
W216,Z16,2027-01-27
W931,Z900,2027-06-17
W1184,Z1035,2027-07-15
W1157,Z1058,2027-02-6
W1251,Z439,2027-04-2
W60,Z45,2027-01-30
W450,Z451,2027-02-5
W923,Z380,2027-03-30
W425,Z230,2027-04-3
W107,Z653,2027-03-30
W23,Z1178,2027-03-5
W586,Z1332,2027-04-27
W1086,Z891,2027-03-15
W544,Z29,2027-03-23
W207,Z539,2027-09-3
W859,Z1262,2027-01-9
W905,Z920,2027-09-18
W1024,Z1043,2027-09-26
W52,Z169,2027-05-22
W31,Z1006,2027-05-17
W1394,Z1057,2027-08-11
W671,Z47,2027-09-12
W553,Z872,2027-09-1
W1387,Z1269,2027-09-8
W898,Z1160,2027-03-29
W100,Z233,2027-08-6
W134,Z822,2027-01-16
W378,Z674,2027-08-7
W292,Z1445,2027-07-30
W415,Z1232,2027-01-1
W810,Z921,2027-05-17
W1365,Z1147,2027-03-28
W1371,Z431,2027-01-19
W214,Z1183,2027-07-16
W76,Z929,2027-04-21
W751,Z49,2027-02-2
W1032,Z1499,2027-03-5
W1079,Z180,2027-07-2
W342,Z796,2027-05-8
W190,Z987,2027-03-13
W375,Z165,2027-09-15
W117,Z1232,2027-01-11
W1218,Z575,2027-05-23
W1198,Z316,2027-05-30
W815,Z374,2027-09-23
W1175,Z212,2027-02-26
W1362,Z1076,2027-06-26
W396,Z271,2027-08-23
W133,Z1278,2027-07-5
W1402,Z586,2027-06-1
W1234,Z637,2027-05-9
W670,Z260,2027-04-27
W223,Z1279,2027-06-26
W941,Z1003,2027-03-22
W2,Z1062,2027-01-19
W1460,Z938,2027-06-15
W847,Z1220,2027-07-22
W516,Z14,2027-09-20
W835,Z669,2027-06-14
W1228,Z548,2027-05-27
W516,Z548,2027-04-29
W1419,Z876,2027-09-23
W123,Z1385,2027-09-14
W328,Z360,2027-03-2
W1287,Z484,2027-05-27
W1419,Z647,2027-08-27
W619,Z935,2027-09-5
W1215,Z1426,2027-08-2
W595,Z1216,2027-06-26
W946,Z404,2027-07-15
W538,Z399,2027-05-12
W107,Z1190,2027-02-24
W1172,Z142,2027-01-15
W1353,Z270,2027-07-29
W148,Z868,2027-04-29
W236,Z942,2027-01-5
W272,Z1322,2027-05-26
W768,Z928,2027-02-19
W882,Z730,2027-08-19
W1492,Z373,2027-02-27
W1244,Z442,2027-04-13
W524,Z780,2027-03-28
W73,Z1452,2027-06-5
W903,Z83,2027-02-26
W137,Z849,2027-03-26
W1286,Z1363,2027-06-11
W115,Z1155,2027-03-27
W1041,Z826,2027-01-27
W1056,Z1340,2027-05-1
W1021,Z490,2027-04-14
W1046,Z753,2027-01-5
W747,Z1428,2027-07-29
W498,Z1477,2027-01-18
W375,Z1394,2027-05-4
W1013,Z212,2027-09-9
W71,Z1434,2027-08-21
W720,Z925,2027-02-30
W1280,Z1048,2027-05-5
W1102,Z1350,2027-04-7
W1282,Z895,2027-03-5
W1179,Z1070,2027-09-10
W1398,Z1004,2027-05-22
W731,Z609,2027-08-27
W972,Z574,2027-09-26
W947,Z594,2027-05-4
W363,Z711,2027-04-10
W1409,Z852,2027-07-29
W1286,Z1094,2027-02-9
W862,Z1097,2027-04-5
W1275,Z576,2027-08-14
W419,Z1463,2027-09-22
W528,Z1466,2027-01-8
W671,Z819,2027-01-13
W183,Z668,2027-05-1
W1323,Z114,2027-06-2
W1273,Z1011,2027-01-17
W666,Z247,2027-07-6
W1114,Z113,2027-03-19
W802,Z999,2027-04-12
W186,Z286,2027-05-17
W337,Z1116,2027-09-30
W153,Z65,2027-09-3
W795,Z233,2027-06-18
W440,Z1098,2027-01-14
W142,Z757,2027-03-10
W999,Z1330,2027-05-29
W168,Z318,2027-01-24
W1053,Z929,2027-04-14
W1373,Z720,2027-01-20
W868,Z1127,2027-04-13
W1307,Z1155,2027-03-19
W504,Z81,2027-06-26
W1139,Z1027,2027-04-9
W138,Z483,2027-06-12
W983,Z48,2027-03-23
W375,Z255,2027-05-10
W443,Z990,2027-03-8
W230,Z803,2027-08-4
W682,Z101,2027-01-25
W109,Z1240,2027-01-10
W830,Z520,2027-08-14
W430,Z918,2027-06-6
W1094,Z907,2027-02-7
W652,Z1385,2027-03-21
W728,Z932,2027-04-14
W1430,Z966,2027-09-15
W404,Z1314,2027-02-23
W895,Z1195,2027-09-29
W1259,Z317,2027-05-25
W474,Z880,2027-09-17
W574,Z57,2027-02-20
W1159,Z1408,2027-02-28
W542,Z593,2027-01-13
W791,Z525,2027-06-18
W977,Z1327,2027-09-26
W51,Z627,2027-06-4
W108,Z1045,2027-04-14
W1260,Z1435,2027-07-11
W1136,Z343,2027-03-5
W330,Z540,2027-07-1
W521,Z16,2027-06-9
W537,Z1298,2027-04-25
W670,Z1453,2027-09-12
W685,Z972,2027-07-30
W1020,Z682,2027-05-16
W177,Z739,2027-01-17
W657,Z354,2027-09-16
W633,Z959,2027-05-3
W1158,Z783,2027-09-28
W126,Z941,2027-01-23
W1434,Z383,2027-07-1
W1451,Z712,2027-08-8
W593,Z884,2027-02-12
W1461,Z1155,2027-01-13
W124,Z785,2027-01-12
W169,Z1049,2027-06-3
W517,Z1409,2027-01-20
W509,Z33,2027-08-11
W1055,Z1183,2027-03-19
W461,Z519,2027-08-13
W1468,Z1075,2027-02-15
W753,Z886,2027-03-13
W1487,Z1127,2027-04-28
W718,Z428,2027-01-16
W1349,Z1146,2027-08-24
W1449,Z1042,2027-05-8
W1257,Z535,2027-03-23
W1188,Z1033,2027-04-30
W1314,Z564,2027-09-16
W1173,Z1416,2027-02-17
W532,Z799,2027-02-10
W253,Z404,2027-09-21
W449,Z1218,2027-09-2
W847,Z551,2027-08-1
W1167,Z1406,2027-06-30
W781,Z154,2027-08-16
W1229,Z1003,2027-02-22
W638,Z339,2027-07-12
W580,Z959,2027-01-3
W1434,Z362,2027-09-20
W1055,Z120,2027-09-6
W801,Z77,2027-08-11
W908,Z1287,2027-06-19
W1005,Z1362,2027-06-24
W1122,Z1328,2027-08-30
W307,Z1146,2027-04-3
W1133,Z849,2027-06-6
W472,Z105,2027-05-28
W1274,Z1353,2027-07-17
W311,Z224,2027-05-18
W232,Z599,2027-07-28
W76,Z713,2027-02-11
W1334,Z1008,2027-01-26
W1356,Z1006,2027-08-16
W1142,Z107,2027-06-24
W281,Z390,2027-06-24
W1221,Z524,2027-09-10
W1454,Z479,2027-05-12
W941,Z1221,2027-03-12
W1411,Z623,2027-03-12
W1468,Z121,2027-04-26
W1392,Z272,2027-04-7
W1210,Z170,2027-05-4
W678,Z1359,2027-03-18
W790,Z1421,2027-07-15
W1187,Z489,2027-06-6
W570,Z215,2027-03-17
W1349,Z160,2027-01-16
W1448,Z621,2027-04-1
W1125,Z268,2027-07-15
W802,Z60,2027-02-23
W8,Z841,2027-08-29
W697,Z1263,2027-04-17
W1416,Z1055,2027-06-8
W13,Z296,2027-01-20
W565,Z920,2027-05-1
W163,Z845,2027-03-30
W1362,Z1116,2027-04-19
W424,Z452,2027-07-15
W373,Z1452,2027-09-18
W317,Z1473,2027-07-10
W186,Z346,2027-04-12
W1354,Z1088,2027-07-12
W486,Z590,2027-07-7
W351,Z1219,2027-04-12
W347,Z149,2027-07-2
W1482,Z272,2027-08-2
W1077,Z527,2027-08-21
W357,Z1293,2027-09-5
W441,Z840,2027-07-23
W1018,Z1472,2027-08-13
W1259,Z982,2027-09-3
W1206,Z969,2027-09-13
W41,Z1234,2027-07-6
W282,Z742,2027-03-29
W787,Z1191,2027-01-29
W952,Z68,2027-07-29
W37,Z386,2027-02-5
W895,Z1156,2027-06-17
W1116,Z1010,2027-02-13
W553,Z1370,2027-03-22
W1223,Z465,2027-06-9
W932,Z1197,2027-03-21
W1390,Z480,2027-07-30
W1496,Z640,2027-01-20
W804,Z1368,2027-09-18
W833,Z173,2027-07-30
W942,Z479,2027-01-18
W1098,Z321,2027-02-15
W977,Z333,2027-06-3
W282,Z1167,2027-05-11
W117,Z294,2027-03-19
W534,Z207,2027-02-3
W1167,Z971,2027-06-26
W1235,Z1363,2027-07-14
W712,Z1164,2027-01-25
W789,Z231,2027-08-8
W459,Z617,2027-01-28
W468,Z29,2027-05-29
W565,Z1142,2027-06-24
W492,Z809,2027-01-21
W948,Z397,2027-02-30
W1336,Z1300,2027-09-9
W813,Z745,2027-07-9
W570,Z615,2027-03-26
W368,Z945,2027-01-27
W1070,Z1089,2027-03-5
W713,Z604,2027-01-6
W242,Z452,2027-09-16
W1058,Z542,2027-07-28
W749,Z891,2027-06-26
W68,Z606,2027-02-4
W997,Z623,2027-07-21
W638,Z587,2027-04-24
W1453,Z1466,2027-04-2
W244,Z684,2027-02-29
W25,Z35,2027-03-19
W370,Z238,2027-09-29
W303,Z690,2027-07-26
W911,Z280,2027-07-24
W236,Z554,2027-06-14
W998,Z560,2027-01-18
W679,Z817,2027-08-19
W336,Z748,2027-08-15
W1109,Z1214,2027-03-25
W1297,Z1235,2027-09-18
W572,Z249,2027-02-16
W1032,Z1410,2027-08-2
W464,Z798,2027-01-30
W619,Z500,2027-01-20
W78,Z1061,2027-09-3
W712,Z1126,2027-03-30
W935,Z443,2027-06-29
W248,Z56,2027-03-7
W816,Z1378,2027-07-4
W439,Z602,2027-04-14
W300,Z1247,2027-04-9
W1123,Z1176,2027-02-10
W1287,Z1273,2027-06-30
W133,Z398,2027-03-27
W73,Z1464,2027-09-9
W1370,Z136,2027-06-22
W63,Z606,2027-03-14
W867,Z1348,2027-09-1
W1037,Z647,2027-07-3
W1146,Z31,2027-05-18
W179,Z749,2027-07-12
W312,Z1357,2027-06-17
W8,Z1016,2027-01-17
W738,Z1470,2027-06-4
W1063,Z1490,2027-06-18
W828,Z1270,2027-06-27
W1425,Z1082,2027-06-8
W328,Z95,2027-06-19
W534,Z92,2027-04-22
W421,Z547,2027-05-1
W1324,Z431,2027-09-6
W1089,Z290,2027-08-24
W1008,Z1034,2027-01-2
W261,Z1313,2027-02-14
W955,Z1176,2027-08-14
W1491,Z708,2027-02-22
W1111,Z313,2027-09-11
W891,Z42,2027-07-21
W275,Z855,2027-08-30
W423,Z418,2027-01-8
W336,Z458,2027-06-10
W1149,Z321,2027-09-7
W1278,Z1146,2027-05-20
W17,Z1023,2027-01-27
W824,Z204,2027-02-22
W394,Z50,2027-02-5
W887,Z462,2027-02-10
W62,Z1248,2027-07-13
W349,Z199,2027-06-28
W1150,Z928,2027-02-4
W647,Z830,2027-05-7
W78,Z322,2027-05-13
W237,Z1260,2027-09-24
W745,Z905,2027-09-24
W1451,Z404,2027-02-25
W1436,Z1316,2027-04-4
