Worker_Code,Zone_Code,Assignment_Date
W471,Z1262,2027-07-11
W646,Z1357,2027-05-27
W998,Z1225,2027-01-18
W480,Z349,2027-02-15
W1263,Z444,2027-06-1
W1456,Z1306,2027-03-4
W435,Z1084,2027-09-11
W348,Z908,2027-09-16
W870,Z458,2027-08-16
W1057,Z308,2027-01-10
W1285,Z98,2027-05-12
W1426,Z941,2027-08-4
W475,Z1481,2027-03-24
W556,Z475,2027-03-4
W87,Z1299,2027-02-8
W980,Z1351,2027-06-3
W1428,Z479,2027-04-13
W239,Z785,2027-05-1
W1102,Z1134,2027-01-10
W1260,Z802,2027-08-22
W677,Z1099,2027-07-17
W549,Z1394,2027-05-30
W1042,Z567,2027-05-12
W639,Z347,2027-06-26
W810,Z332,2027-02-26
W111,Z66,2027-08-10
W1355,Z1446,2027-06-25
W1223,Z1157,2027-04-7
W1104,Z476,2027-09-8
W549,Z288,2027-08-6
W1466,Z982,2027-02-1
W331,Z270,2027-09-19
W605,Z1332,2027-05-9
W89,Z1418,2027-03-16
W1052,Z613,2027-02-22
W286,Z109,2027-06-10
W1054,Z741,2027-08-8
W543,Z588,2027-09-25
W1252,Z772,2027-06-23
W182,Z577,2027-03-6
W7,Z1011,2027-04-4
W580,Z787,2027-06-15
W1474,Z1400,2027-07-18
W899,Z377,2027-01-1
W357,Z1217,2027-06-28
W260,Z1010,2027-08-22
W1455,Z594,2027-03-7
W1336,Z792,2027-09-30
W22,Z535,2027-09-8
W927,Z319,2027-05-23
W997,Z861,2027-04-26
W1301,Z887,2027-03-5
W1326,Z364,2027-01-9
W241,Z886,2027-09-29
W881,Z18,2027-09-10
W147,Z314,2027-07-19
W1096,Z457,2027-04-23
W226,Z640,2027-03-27
W845,Z481,2027-05-26
W1417,Z432,2027-09-23
W533,Z1275,2027-06-11
W1004,Z1299,2027-03-18
W484,Z1185,2027-05-23
W1498,Z586,2027-03-22
W1475,Z183,2027-05-10
W912,Z605,2027-05-8
W285,Z401,2027-07-23
W1114,Z1101,2027-01-28
W346,Z974,2027-04-21
W905,Z1045,2027-06-7
W348,Z1108,2027-05-16
W558,Z216,2027-02-9
W316,Z1423,2027-04-30
W1167,Z1140,2027-06-15
W187,Z52,2027-09-8
W760,Z487,2027-02-13
W1189,Z510,2027-04-16
W180,Z312,2027-01-7
W807,Z745,2027-05-29
W1095,Z451,2027-04-20
W666,Z497,2027-08-8
W342,Z1143,2027-08-28
W1435,Z1301,2027-02-10
W1388,Z358,2027-03-23
W1197,Z1055,2027-02-30
W408,Z1226,2027-06-30
W587,Z1437,2027-02-13
W680,Z246,2027-07-17
W545,Z1496,2027-04-18
W1301,Z762,2027-07-26
W1360,Z97,2027-07-10
W644,Z968,2027-01-19
W687,Z683,2027-06-14
W1346,Z1039,2027-04-18
W590,Z1376,2027-03-15
W155,Z156,2027-03-6
W346,Z976,2027-01-1
W924,Z971,2027-02-7
W1089,Z184,2027-08-2
W476,Z59,2027-07-11
W1302,Z1129,2027-05-3
W504,Z811,2027-08-6
W919,Z636,2027-09-14
W882,Z1314,2027-04-20
W1023,Z1246,2027-01-23
W1170,Z1156,2027-09-10
W632,Z315,2027-07-19
W1422,Z261,2027-04-4
W944,Z410,2027-08-11
W287,Z946,2027-05-4
W327,Z111,2027-04-28
W1047,Z1288,2027-08-16
W536,Z1105,2027-08-8
W1184,Z531,2027-01-2
W70,Z52,2027-02-27
W1249,Z898,2027-09-26
W6,Z1289,2027-06-26
W1175,Z452,2027-08-29
W925,Z1275,2027-08-22
W1390,Z402,2027-07-16
W1423,Z313,2027-08-19
W860,Z396,2027-04-25
W911,Z306,2027-01-12
W57,Z463,2027-05-23
W152,Z956,2027-07-1
W1441,Z472,2027-05-8
W248,Z1134,2027-03-17
W1390,Z1075,2027-05-19
W713,Z392,2027-03-28
W1091,Z969,2027-08-22
W1123,Z208,2027-01-18
W932,Z416,2027-06-8
W500,Z1492,2027-07-10
W152,Z742,2027-05-12
W312,Z709,2027-08-27
W1282,Z1216,2027-05-26
W437,Z244,2027-05-18
W1247,Z676,2027-08-20
W1039,Z131,2027-01-21
W431,Z263,2027-03-22
